Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
10, ACRU, 0, 0, 0, 1056, 
10, BENI, 0, 0, 0, 0, 
10, CAGL8, 0, 0, 0, 69, 
10, CATO6, 0, 0, 0, 52, 
10, FAGR, 0, 0, 0, 35, 
10, FRAM2, 0, 0, 0, 21, 
10, FRPE, 0, 0, 0, 9, 
10, JUNI, 0, 0, 0, 51, 
10, JUVI, 0, 0, 0, 54, 
10, LIST, 0, 0, 0, 1495, 
10, LITU, 0, 0, 0, 1384, 
10, NYSY, 0, 0, 0, 82, 
10, OXAR, 0, 0, 0, 61, 
10, PIEC, 0, 0, 0, 612, 
10, PIST, 0, 0, 0, 0, 
10, PITA, 0, 0, 0, 0, 
10, PIVI2, 0, 0, 0, 0, 
10, PLOC, 0, 0, 0, 34, 
10, PRSE2, 0, 0, 0, 273, 
10, QUAL, 0, 0, 0, 774, 
10, QUCO2, 0, 0, 0, 119, 
10, QUFA, 0, 0, 0, 0, 
10, QUMO4, 0, 0, 0, 165, 
10, QUPH, 0, 0, 0, 0, 
10, QURU, 0, 0, 0, 82, 
10, QUST, 0, 0, 0, 172, 
10, QUVE, 0, 0, 0, 45, 
10, ULAL, 0, 0, 0, 175, 
10, ULAM, 0, 0, 0, 35, 
10, PIPA, 0, 0, 0, 0, 
20, ACRU, 0, 0, 0, 560, 
20, BENI, 0, 0, 0, 0, 
20, CAGL8, 0, 0, 0, 36, 
20, CATO6, 0, 0, 0, 30, 
20, FAGR, 0, 0, 0, 26, 
20, FRAM2, 0, 0, 0, 22, 
20, FRPE, 0, 0, 0, 1, 
20, JUNI, 0, 0, 0, 33, 
20, JUVI, 0, 0, 0, 70, 
20, LIST, 0, 0, 0, 1044, 
20, LITU, 0, 0, 0, 977, 
20, NYSY, 0, 0, 0, 55, 
20, OXAR, 0, 0, 0, 100, 
20, PIEC, 0, 0, 0, 380, 
20, PIST, 0, 0, 0, 0, 
20, PITA, 0, 0, 0, 1667, 
20, PIVI2, 0, 0, 0, 0, 
